run,last_val_step,val_loss,RMSE,MAE,R2,MaxError,AbsErrorP50,AbsErrorP90,AbsErrorP95,AbsErrorP99,TempRecallAboveSolidus,TempPrecisionAboveSolidus,TempF1AboveSolidus,SpecGateRecallAt0.1,SpecGatePrecisionAt0.1,SpecGateNormalP99,ArrivalGateRecallAt0.1,ArrivalGatePrecisionAt0.1,ArrivalGateNormalP99,train_loss,train_seconds_per_batch,train_peak_vram_gb,test_RMSE,test_MAE,test_R2,test_MaxError,test_AbsErrorP50,test_AbsErrorP90,test_AbsErrorP95,test_AbsErrorP99,test_TempRecallAboveSolidus,test_TempPrecisionAboveSolidus,test_TempF1AboveSolidus,test_worst_step,test_worst_raw_time,test_worst_node,test_worst_pred,test_worst_target,test_worst_abs_error,test_worst_path_pre_arrival_gate,test_worst_endpoint_gate,test_worst_program_track_gate,test_worst_time_until_gate,test_worst_residual_gate,test_worst_residual_boost,event_file,test_report
ablation_z240_reverse_odd_endpoint_eta_track_cold_1900_floor_probe300,10,5327.85986328125,21.588775634765625,3.5020179748535156,0.9948669075965881,2324.335693359375,1.1737060546875,8.0211181640625,12.626960754394531,29.778799057006836,0.21212121844291687,0.019151845946907997,0.03513174504041672,0.3636363744735718,0.0308880303055048,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3730.83154296875,0.970460832118988,10.42966365814209,14.028250392762144,2.894627094268799,0.9979284735277906,2259.217041015625,1.34271240234375,5.6480712890625,9.26898193359375,20.99127197265625,0.9618528610354223,0.305363321799308,0.4635587655942219,2095,41900.0,24303,71.09214782714844,2330.30908203125,2259.217041015625,0.5344971418380737,0.4396630823612213,0.8252426981925964,0.001310265506617725,0.0,0.0,events.out.tfevents.1786196292.WorkStation-U9.36688.0,test_metrics.json
ablation_z241_reverse_odd_endpoint_eta_high_track_1900_floor_probe300,10,5375.8369140625,21.605741500854492,3.5211338996887207,0.9948588013648987,2318.343017578125,1.17437744140625,8.16131591796875,12.61328125,29.543350219726562,0.21212121844291687,0.018842529505491257,0.034610629081726074,0.3636363744735718,0.030534351244568825,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3732.777587890625,0.968747079372406,10.42966365814209,13.95339073620134,2.90183687210083,0.9979505234176118,1534.972412109375,1.33966064453125,5.80413818359375,9.094249725341797,20.8077392578125,0.9700272479564033,0.3047945205479452,0.4638436482084691,2126,42520.0,75336,1755.33154296875,220.3590850830078,1534.972412109375,0.5251306891441345,9.94564965119735e-25,0.9805825352668762,0.001664766576141119,0.8759247660636902,1667.7607421875,events.out.tfevents.1786200119.WorkStation-U9.35516.0,test_metrics.json
ablation_z242_reverse_odd_endpoint_eta_high_track_no_sweep_1900_floor_probe300,10,4323.154296875,18.230690002441406,3.556183099746704,0.9963395595550537,2215.541748046875,1.15606689453125,7.888922214508057,12.974884033203125,30.87950897216797,0.21212121844291687,0.03910614550113678,0.06603773683309555,0.3636363744735718,0.06611569970846176,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,2784.209716796875,0.9637426733970642,10.42966365814209,13.776665926408013,3.1950607299804688,0.9980021093229494,2121.96337890625,1.383758544921875,7.03814697265625,10.200747680663994,22.913197021484393,0.8937329700272479,0.3877068557919622,0.54080791426216,2046,40920.0,24852,127.31784057617188,2249.28125,2121.96337890625,0.5518501400947571,0.0008742835489101708,0.6019417643547058,0.0007206025766208768,0.0,0.0,events.out.tfevents.1786203734.WorkStation-U9.32812.0,test_metrics.json
ablation_z243_reverse_odd_constrained_sweep_rescue_1900_floor_probe300,10,4418.89306640625,18.626537322998047,3.651336431503296,0.996178925037384,2224.511962890625,1.2144775390625,8.186460494995117,13.4224853515625,30.798059463500977,0.21212121844291687,0.03465346619486809,0.059574469923973083,0.3636363744735718,0.0585365854203701,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,2816.55029296875,0.9585647583007812,10.42966365814209,13.651090786566689,3.316171169281006,0.9980383651996073,2095.272216796875,1.525909423828125,7.344970703125,10.479860973358097,22.844765625000036,0.9182561307901907,0.36951754385964913,0.5269741985926505,2131,42620.0,24218,129.1277313232422,2224.39990234375,2095.272216796875,0.5356519222259521,0.0,1.0,0.00145237788092345,0.0,0.0,events.out.tfevents.1786207481.WorkStation-U9.36076.0,test_metrics.json
ablation_z244_reverse_odd_constrained_sweep_rescue_relaxed_cold_body_1900_floor_probe300,10,4463.41748046875,18.861202239990234,3.652862310409546,0.9960820078849792,2231.503662109375,1.21331787109375,8.1953125,13.440788269042969,31.022489547729492,0.21212121844291687,0.033096928149461746,0.05725971236824989,0.3636363744735718,0.0552995391190052,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,2828.1640625,0.9437912702560425,10.42966365814209,13.617042947812793,3.335763454437256,0.9980481381872042,2056.43896484375,1.51953125,7.34234619140625,10.543176651000977,23.12319396972657,0.9346049046321526,0.3648936170212766,0.5248661055853099,2043,40860.0,75126,141.03445434570312,2197.473388671875,2056.43896484375,0.5435515642166138,0.0,0.582524299621582,0.0008781117503531277,0.0,0.0,events.out.tfevents.1786210807.WorkStation-U9.32860.0,test_metrics.json
ablation_z24_probe200,8,700.9993896484375,17.471202850341797,2.2518606185913086,0.9966537952423096,1662.2950439453125,0.6954345703125,3.68182373046875,6.184634208679199,20.544275283813477,0.0,0.0,0.0,0.17241379618644714,0.0024582103360444307,0.0,1.0,0.0006803199648857117,0.16101998090744019,743.3466186523438,0.9383441209793091,9.827131271362305,,,,,,,,,,,,,,,,,,,,,,,,events.out.tfevents.1785632849.WorkStation-U9.31332.0,
