run,last_val_step,val_loss,RMSE,MAE,R2,MaxError,AbsErrorP50,AbsErrorP90,AbsErrorP95,AbsErrorP99,TempRecallAboveSolidus,TempPrecisionAboveSolidus,TempF1AboveSolidus,SpecGateRecallAt0.1,SpecGatePrecisionAt0.1,SpecGateNormalP99,ArrivalGateRecallAt0.1,ArrivalGatePrecisionAt0.1,ArrivalGateNormalP99,train_loss,train_seconds_per_batch,train_peak_vram_gb,test_RMSE,test_MAE,test_R2,test_MaxError,test_AbsErrorP50,test_AbsErrorP90,test_AbsErrorP95,test_AbsErrorP99,test_TempRecallAboveSolidus,test_TempPrecisionAboveSolidus,test_TempF1AboveSolidus,test_worst_step,test_worst_raw_time,test_worst_node,test_worst_pred,test_worst_target,test_worst_abs_error,test_worst_path_pre_arrival_gate,test_worst_endpoint_gate,test_worst_program_track_gate,test_worst_time_until_gate,test_worst_residual_gate,test_worst_residual_boost,event_file,test_report
ablation_z230_xml_reverse_odd_preheat014_post_cap_0440_1900_floor_probe300,10,5367.21044921875,21.53557586669922,3.517148971557617,0.9948921799659729,2300.402587890625,1.15106201171875,8.03790283203125,13.039775848388672,30.035293579101562,0.21212121844291687,0.019178081303834915,0.035175878554582596,0.3636363744735718,0.030967742204666138,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3722.5234375,0.9665060639381409,10.428949356079102,13.894449983948459,2.8882858753204346,0.9979678013058768,2252.7685546875,1.3583221435546875,5.575927734375,9.188906860351494,20.54067443847657,0.9536784741144414,0.3054101221640489,0.4626569729015202,2095,41900.0,24303,77.54054260253906,2330.30908203125,2252.7685546875,0.5344971418380737,0.4396630823612213,0.8252426981925964,,0.0,0.0,events.out.tfevents.1786160736.WorkStation-U9.18912.0,test_metrics.json
ablation_z231_xml_reverse_odd_endpoint_cold_rescue_0440_1900_floor_probe300,10,5345.2626953125,21.534461975097656,3.5170347690582275,0.9948927164077759,2296.38818359375,1.16351318359375,7.95904541015625,13.110939025878906,30.00135612487793,0.21212121844291687,0.019021738320589066,0.03491271659731865,0.3636363744735718,0.030729833990335464,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3731.5810546875,0.9645967483520508,10.428949356079102,13.84821876061311,2.9057278633117676,0.997981302266156,1670.7742919921875,1.34906005859375,5.752169799804676,9.41796875,21.028492431640643,0.9700272479564033,0.3055793991416309,0.4647519582245431,2017,40340.0,35671,1690.7742919921875,20.0,1670.7742919921875,0.5232830047607422,0.43523213267326355,0.4660194218158722,,0.8759247660636902,1667.7607421875,events.out.tfevents.1786164442.WorkStation-U9.36812.0,test_metrics.json
ablation_z232_xml_reverse_odd_endpoint_track075_rescue_0440_1900_floor_probe300,10,5353.46923828125,21.595138549804688,3.539712905883789,0.9948638677597046,2315.346435546875,1.1841201782226562,8.068603515625,13.13504409790039,29.770828247070312,0.21212121844291687,0.01904761977493763,0.03495630621910095,0.3636363744735718,0.030729833990335464,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3726.27099609375,0.9724000096321106,10.428948402404785,14.007789624563028,2.93562650680542,0.9979345120504248,2193.836181640625,1.3939208984375,5.639346313476551,9.3380126953125,21.157941741943375,0.9373297002724795,0.2999128160418483,0.45442536327608973,2054,41080.0,25029,86.46810150146484,2280.30419921875,2193.836181640625,0.5437757968902588,0.4425826072692871,0.6407766938209534,,0.0,0.0,events.out.tfevents.1786167836.WorkStation-U9.30384.0,test_metrics.json
ablation_z233_xml_reverse_odd_endpoint_track060_rescue_0440_1900_floor_probe300,10,5339.8056640625,21.574539184570312,3.45969557762146,0.9948736429214478,2325.353759765625,1.24212646484375,7.489803314208984,11.569761276245117,29.753652572631836,0.21212121844291687,0.01904761977493763,0.03495630621910095,0.3636363744735718,0.03076923079788685,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3706.911865234375,0.9704509973526001,10.428949356079102,13.992583353906298,2.8742353916168213,0.9979389940049679,2261.697021484375,1.43463134765625,5.45709228515625,8.3173828125,19.68282531738282,0.9400544959128065,0.2997393570807993,0.45454545454545453,2095,41900.0,24303,68.61199188232422,2330.30908203125,2261.697021484375,0.5344971418380737,0.4396630823612213,0.8252426981925964,,0.0,0.0,events.out.tfevents.1786171258.WorkStation-U9.36428.0,test_metrics.json
ablation_z234_xml_reverse_odd_endpoint_track060_cold025_rescue_0440_1900_floor_probe300,10,5326.65576171875,21.591476440429688,3.4104321002960205,0.9948655962944031,2333.3251953125,1.21044921875,7.35760498046875,11.572772979736328,29.586502075195312,0.21212121844291687,0.01904761977493763,0.03495630621910095,0.3636363744735718,0.03076923079788685,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3705.15673828125,0.9731800556182861,10.428948402404785,14.023816694908088,2.8020143508911133,0.9979297828628256,2264.67431640625,1.3858184814453125,5.12396240234375,8.208560180663994,19.59475158691407,0.9400544959128065,0.2997393570807993,0.45454545454545453,2095,41900.0,24303,65.63481903076172,2330.30908203125,2264.67431640625,0.5344971418380737,0.4396630823612213,0.8252426981925964,,0.0,0.0,events.out.tfevents.1786174701.WorkStation-U9.11676.0,test_metrics.json
ablation_z235_xml_reverse_odd_endpoint_track060_program_rescue_0440_1900_floor_probe300,10,5356.5048828125,21.596872329711914,3.4798166751861572,0.9948630332946777,2327.332275390625,1.26031494140625,7.56610107421875,11.78636646270752,29.561809539794922,0.21212121844291687,0.01886792480945587,0.03465346619486809,0.3636363744735718,0.030495552346110344,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3711.41748046875,0.9674385190010071,10.428949356079102,14.006042266489956,2.9255154132843018,0.9979350272216474,2142.86328125,1.49652099609375,5.55718994140625,8.302244281768797,19.6168212890625,0.9482288828337875,0.29845626072041165,0.45401174168297465,2013,40260.0,35707,83.4919204711914,2226.355224609375,2142.86328125,0.5574042201042175,0.4454994797706604,0.4466019570827484,,0.0,0.0,events.out.tfevents.1786178147.WorkStation-U9.23204.0,test_metrics.json
ablation_z236_xml_reverse_odd_endpoint_time_until_rescue_0440_1900_floor_probe300,10,5394.48974609375,21.741273880004883,3.557647705078125,0.9947941303253174,2322.338134765625,1.2056884765625,8.218786239624023,12.94614028930664,29.63848876953125,0.21212121844291687,0.01859229803085327,0.03418803587555885,0.3636363744735718,0.030037546530365944,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3770.800537109375,0.9675273299217224,10.42966365814209,14.049257002220905,2.974058151245117,0.9979222649775968,1670.4090576171875,1.4349365234375,5.76458740234375,9.3358154296875,21.24825500488282,0.9564032697547684,0.2989778534923339,0.4555483452303699,2017,40340.0,35671,1690.4090576171875,20.0,1670.4090576171875,0.5232830047607422,0.43523213267326355,0.4660194218158722,0.002221427857875824,0.8759247660636902,1667.7607421875,events.out.tfevents.1786182737.WorkStation-U9.32072.0,test_metrics.json
ablation_z237_xml_literal_endpoint_time_until_rescue_0440_1900_floor_probe300,10,4248.5126953125,21.86234474182129,3.336536169052124,0.9947359561920166,2296.8837890625,1.06976318359375,5.775028228759766,10.836380004882812,34.502140045166016,0.0,0.0,0.0,0.0,0.0,0.007938770577311516,0.04545454680919647,0.00013130252773407847,0.0007298718555830419,3686.79736328125,0.9466390013694763,10.429662704467773,19.905734116892596,3.181046962738037,0.9958290032279646,2750.912109375,1.1985931396484375,5.8670654296875,10.03125,28.62957763671875,0.027247956403269755,0.006872852233676976,0.01097694840834248,2131,42620.0,24219,197.4312744140625,2948.343505859375,2750.912109375,0.0,0.0,0.0,0.0,0.0,0.0,events.out.tfevents.1786186000.WorkStation-U9.30144.0,test_metrics.json
ablation_z238_reverse_odd_no_timeuntil_shortcut_1900_floor_probe300,10,5342.65673828125,21.54984474182129,3.4480581283569336,0.9948853850364685,2321.3583984375,1.2334136962890625,7.383871078491211,11.68033218383789,29.752056121826172,0.21212121844291687,0.019178081303834915,0.035175878554582596,0.3636363744735718,0.030967742204666138,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3701.909912109375,0.9706438183784485,10.42966365814209,14.024959114001511,2.8919548988342285,0.9979294454397122,2260.705078125,1.45880126953125,5.3653564453125,8.41107177734375,19.775745849609393,0.9291553133514986,0.29991204925241866,0.45345744680851063,2095,41900.0,24303,69.60405731201172,2330.30908203125,2260.705078125,0.5344971418380737,0.4396630823612213,0.8252426981925964,0.001310265506617725,0.0,0.0,events.out.tfevents.1786189349.WorkStation-U9.11588.0,test_metrics.json
ablation_z239_reverse_odd_timeuntil_track_1900_floor_probe300,10,5365.17822265625,21.566871643066406,3.503514051437378,0.994877278804779,2300.383544921875,1.14727783203125,7.90252685546875,12.991329193115234,29.95428466796875,0.21212121844291687,0.01886792480945587,0.03465346619486809,0.3636363744735718,0.030495552346110344,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3724.26611328125,0.9696012735366821,10.42966365814209,13.894742100241608,2.8935647010803223,0.9979677158534295,2132.942626953125,1.33599853515625,5.63177490234375,9.4007568359375,20.82558654785157,0.9482288828337875,0.29845626072041165,0.45401174168297465,2013,40260.0,35707,93.41253662109375,2226.355224609375,2132.942626953125,0.5574042201042175,0.4454994797706604,0.4466019570827484,0.001504795509390533,0.0,0.0,events.out.tfevents.1786192634.WorkStation-U9.31292.0,test_metrics.json
ablation_z23_probe200,8,800.94677734375,38.615875244140625,6.075168132781982,0.9836531281471252,1892.0,0.8719482421875,5.20281982421875,15.120643615722656,114.13211059570312,0.06896551698446274,0.004999999888241291,0.009324009530246258,1.0,0.0001374036364722997,0.7484408617019653,1.0,0.0006803199648857117,0.16101998090744019,1191.0401611328125,0.9758811593055725,9.827131271362305,,,,,,,,,,,,,,,,,,,,,,,,events.out.tfevents.1785631046.WorkStation-U9.21896.0,
ablation_z23_smoke,1,1260.6298828125,18.38992691040039,2.4264824390411377,0.9963115453720093,1615.261474609375,0.6815185546875,3.5802669525146484,5.5896148681640625,25.722599029541016,0.0,0.0,0.0,1.0,0.0001317696733167395,0.7512438297271729,1.0,0.0006910850061103702,0.16365164518356323,469.56732177734375,1.4364395141601562,9.531061172485352,,,,,,,,,,,,,,,,,,,,,,,,events.out.tfevents.1785630927.WorkStation-U9.12280.0,
ablation_z240_reverse_odd_endpoint_eta_track_cold_1900_floor_probe300,10,5327.85986328125,21.588775634765625,3.5020179748535156,0.9948669075965881,2324.335693359375,1.1737060546875,8.0211181640625,12.626960754394531,29.778799057006836,0.21212121844291687,0.019151845946907997,0.03513174504041672,0.3636363744735718,0.0308880303055048,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3730.83154296875,0.970460832118988,10.42966365814209,14.028250392762144,2.894627094268799,0.9979284735277906,2259.217041015625,1.34271240234375,5.6480712890625,9.26898193359375,20.99127197265625,0.9618528610354223,0.305363321799308,0.4635587655942219,2095,41900.0,24303,71.09214782714844,2330.30908203125,2259.217041015625,0.5344971418380737,0.4396630823612213,0.8252426981925964,0.001310265506617725,0.0,0.0,events.out.tfevents.1786196292.WorkStation-U9.36688.0,test_metrics.json
ablation_z241_reverse_odd_endpoint_eta_high_track_1900_floor_probe300,10,5375.8369140625,21.605741500854492,3.5211338996887207,0.9948588013648987,2318.343017578125,1.17437744140625,8.16131591796875,12.61328125,29.543350219726562,0.21212121844291687,0.018842529505491257,0.034610629081726074,0.3636363744735718,0.030534351244568825,0.007938770577311516,0.9090909361839294,0.0016326085897162557,0.014246816746890545,3732.777587890625,0.968747079372406,10.42966365814209,13.95339073620134,2.90183687210083,0.9979505234176118,1534.972412109375,1.33966064453125,5.80413818359375,9.094249725341797,20.8077392578125,0.9700272479564033,0.3047945205479452,0.4638436482084691,2126,42520.0,75336,1755.33154296875,220.3590850830078,1534.972412109375,0.5251306891441345,9.94564965119735e-25,0.9805825352668762,0.001664766576141119,0.8759247660636902,1667.7607421875,events.out.tfevents.1786200119.WorkStation-U9.35516.0,test_metrics.json
